xcentroid,ycentroid,fwhm,roundness,pa,max_value,flux,mag,frame,psflike,psfdiff,flux_sign,xint,yint,n_detections,objid,source_mask,ra,dec,mjd,GaiaID,Type,Prob
244.3346430492295,222.14389150182146,3.1252233610094025,0.1856663932802506,144.32453130610455,177.03721412540722,825.97681537963,-7.29241964283484,0,0.97,0.2055380900110888,1,244,222,817,1,1,164.73326162865848,17.37409174741407,58898.828832584644,3982184417178537472,EB,0.9900000095367432
131.73018906234398,256.1500955696069,4.419678771867701,0.42323985713315276,54.2757262797868,105.31207179061562,680.5415599872847,-7.082136630688975,0,0.92,0.4360080456482265,1,132,256,205,2,1,164.17819665959996,17.798520390400725,58898.828832584644,3982271003719165952,RRAB,0.9929999709129332
330.7280691731915,299.74996731083627,2.477985381639906,0.26383449153184313,45.626342739618366,702.8082206447741,4104.944569731866,-9.033268242723842,0,0.91,0.4153485457040883,1,331,300,653,3,1,165.379615324669,17.595891520981,58898.828832584644,0,0,0.0
205.40741738879262,389.4732477509362,6.654052560464537,0.17653970720348988,115.27344345812241,10.150317022268837,128.67979398501302,-5.27377589232406,0,0.92,0.42616771358942523,1,205,389,33,4,1,164.87364359505392,18.344777066723587,58898.828832584644,0,0,0.0
131.75435211702964,256.1766921490261,4.691660831775277,0.4839163390195721,48.68584468457575,98.30209525981775,637.7080072394256,-7.011554675360037,1,0.91,0.46326871149743504,1,132,256,205,2,1,164.1783877745462,17.798609151648627,58898.8496661927,3982271003719165952,RRAB,0.9929999709129332
277.44606428115026,458.6718808422692,4.81744510446,0.48522972517493684,122.71845247596406,54.05044048618663,365.76295779383406,-6.407999301782685,1,0.97,0.2539575057879252,1,277,459,3,5,1,165.42523421861247,18.55312550481118,58898.8496661927,3983836394744681472,0,0.0
131.9097005592863,256.2764049001788,4.8708310872419505,0.4910307716280677,49.06982938870965,90.20898715406452,587.3442237912112,-6.922231755152749,2,0.9,0.4893565797491371,1,132,256,205,2,1,164.17946561617097,17.798801969090558,58898.870499801684,3982271003719165952,RRAB,0.9929999709129332
330.7459489662518,299.7462219003373,2.4358906325932983,0.25319926382575036,47.652243821447016,569.927375133363,3292.389286343975,-8.793777949488268,2,0.91,0.4176139501117468,1,331,300,653,3,1,165.37970667623375,17.59583246668673,58898.870499801684,0,0,0.0
276.92498789576854,459.32249385477473,4.4178595531549165,0.3389332069870029,133.8402701630443,60.60399070982896,338.81893076018423,-6.324919168956312,2,0.98,0.23360095531508576,1,277,459,3,5,1,165.42372896545479,18.557708888698542,58898.870499801684,3983836394744681472,0,0.0
350.7721414670112,37.38407910731515,6.457054087268976,0.0521968922813474,42.5023907801827,6.448322396673916,65.40018225298931,-4.538947396474173,3,0.96,0.3015088896397758,1,351,37,2,6,0,164.93063056900078,16.164190158978318,58898.89133341206,0,0,0.0
330.7266498453684,299.73147026142226,2.426894933937164,0.2470733021848818,45.96534841206852,519.7256990923191,2995.0858579354635,-8.691023191265032,3,0.91,0.41914349001943985,1,331,300,653,3,1,165.3795676750938,17.595796822885156,58898.89133341206,0,0,0.0
275.8459850567268,459.2087231204119,3.9678849944320578,0.30414790170959793,131.62744713790374,73.90274375911167,273.2654589755965,-6.09146184977385,3,0.99,0.22084474164791176,1,276,459,3,5,1,165.41745285923983,18.559477365998784,58898.89133341206,3983836394744681472,0,0.0
350.0704705207238,37.67097547218493,6.298479894454274,0.09454893357779502,51.90515407098183,5.80451143400586,66.15070830676888,-4.551336246859606,4,0.93,0.37808031840540707,1,350,38,2,6,0,164.92736430868857,16.167238412778996,58898.91216702291,0,0,0.0
103.21290503047922,197.6719339133568,6.702425591796656,0.15407004670363433,73.97896815818922,5.515566455524436,69.1397051605486,-4.599318808010915,4,0.91,0.4758116651347901,1,103,198,8,7,1,163.89571349621824,17.54998500731508,58898.91216702291,0,0,0.0
330.75134242410076,299.7459297877296,2.4113667246520767,0.28499878400503376,48.737052966960974,474.98963597496265,2750.0744860077248,-8.598361142233879,4,0.91,0.4174536840532526,1,331,300,653,3,1,165.37973603311679,17.595819082675096,58898.91216702291,0,0,0.0
330.75456570156786,299.736492159958,2.4366015257870925,0.29539912793152223,46.21065739299846,438.57878258414723,2535.6807044529146,-8.510236414601074,5,0.91,0.4199370954701653,1,331,300,653,3,1,165.37973366689536,17.595762100365935,58898.93300063468,0,0,0.0
274.12324229393835,459.2363127045146,4.163723601667759,0.07108457487432882,103.74888960640493,71.7410031097719,323.88232725619616,-6.2759681280949895,5,0.99,0.163500638122275,1,274,459,2,8,1,165.4078844398717,18.5634064778515,58898.93300063468,0,0,0.0
330.73874251038086,299.732826173021,2.4398937622803345,0.2848257999565561,47.81397714806306,410.01843621995226,2368.7937122594954,-8.436318103972116,6,0.91,0.4154110329696313,1,331,300,653,3,1,165.37963781840838,17.595777448200266,58898.95383424739,0,0,0.0
330.732734631875,299.74605196207466,2.382336040541799,0.2541730960916853,48.26217713934031,384.88164911158435,2208.029845920182,-8.360012348628908,7,0.91,0.41742085490084,1,331,300,653,3,1,165.37963284623225,17.59586057510433,58898.974667861024,0,0,0.0
272.93431845245533,458.6963321304617,3.877965340855531,0.18427887020140593,62.15655703449963,74.07766474341202,369.11720615820667,-6.417910725054962,7,0.99,0.18353008763276712,1,273,459,2,8,1,165.40007229140883,18.563162909623873,58898.974667861024,0,0,0.0
244.51092303773822,222.03144751175182,2.9923823679792063,0.039495864645399906,100.30617616106497,181.93556328552705,892.0151274447853,-7.375930548804903,9,0.96,0.2527014332984816,1,245,222,817,1,1,164.73400258140913,17.373112557910677,58899.016335090164,3982184417178537472,EB,0.9900000095367432
330.7605227626541,299.7705325494965,2.4042125391213713,0.22772514648654602,44.04452211299689,348.95794504244304,2005.0270146799007,-8.255300571127876,9,0.91,0.4180697066454848,1,331,300,653,3,1,165.37983995400162,17.59592903175744,58899.016335090164,0,0,0.0
345.8496967707597,38.876327623451616,5.634523414953602,0.1590867707084331,14.579757371575084,7.251777318720372,58.684185550819876,-4.4213027039982755,10,0.92,0.4835062619826167,1,346,39,1,9,0,164.90661148354604,16.182820521338837,58899.03716870567,3983836669622106624,0,0.0
244.5099025310042,222.03540532213458,2.740658511933698,0.12743702134260207,82.73940597766453,186.2015023837439,886.0807534064575,-7.368683258331271,10,0.96,0.2509941083860583,1,245,222,817,1,1,164.73400532935284,17.373135736697378,58899.03716870567,3982184417178537472,EB,0.9900000095367432
330.7650166082303,299.7433089262392,2.388842806009496,0.20406641851370225,43.47496301187251,331.8396911426273,1903.7537365836947,-8.199026921885968,10,0.91,0.421133792250309,1,331,300,653,3,1,165.37980642084673,17.595775206855205,58899.03716870567,0,0,0.0
270.0170351735018,457.94154080666397,4.270529984735704,0.45028888457683863,41.94822766320217,55.43072747509564,314.3645383245629,-6.243583874600299,10,0.97,0.24234634596460725,1,270,458,3,10,1,165.38213568098132,18.565577856348657,58899.03716870567,0,0,0.0
330.73816304292177,299.7329661107606,2.54581521148634,0.26408006158746133,45.47103329839845,321.43810436759645,1865.1180090432863,-8.176765788826811,11,0.91,0.41842481486583893,1,331,300,653,3,1,165.37963489766824,17.59577946020136,58899.05800232164,0,0,0.0
244.45707723174783,221.9868607921969,3.0166317382185426,0.15201783389027862,92.55473715075262,139.27725057045348,677.3617057285101,-7.0770516010073585,12,0.97,0.1996931196091837,1,244,222,817,1,1,164.7336082745868,17.372993697368358,58899.07883593807,3982184417178537472,EB,0.9900000095367432
330.7690409495478,299.7154717332774,2.4741358035015457,0.22365583297142114,46.04905121738909,307.52967858864423,1783.2887163994833,-8.128054154052185,12,0.91,0.42083784907001803,1,331,300,653,3,1,165.3797689587051,17.595619167966788,58899.07883593807,0,0,0.0
268.60832450995974,457.5131538429835,4.406603685004306,0.49139688808837656,45.67184368648942,71.53391096175665,323.75989538082786,-6.275557627616049,12,0.98,0.2235419458525673,1,269,458,3,10,1,165.37333606795121,18.56640555320391,58899.07883593807,0,0,0.0
330.73342646873897,299.69141155550034,2.524918526883038,0.2334673115776712,41.75266988779312,295.86766412239973,1725.5335011258387,-8.092308488774432,13,0.91,0.424811058491638,1,331,300,653,3,1,165.37951924464895,17.595570114141736,58899.09966955497,0,0,0.0
268.04639914636584,457.98512396252846,3.932156806598977,0.30170911188614186,34.81916515393701,80.20919322177559,307.1541355174424,-6.21839091756899,13,0.98,0.24484273790546254,1,268,458,3,10,1,165.37121500915762,18.570133841653185,58899.09966955497,0,0,0.0
244.48796285956078,221.91170139494892,3.326602101415616,0.22178207619973034,96.59080941904551,65.06034050430827,355.94848675105345,-6.378467877386342,14,0.95,0.2741921975420153,1,244,222,817,1,1,164.73362007362414,17.37252847838126,58899.12050317233,3982184417178537472,EB,0.9900000095367432
