,Unnamed: 0,Num,Name,Mv(mean),Class,Number of Points,Num Matches,a,e,i,H,Mean COM Flux,STD COM Flux,Mean COM Flux Error,Mean COM Flux Error STD,SNR,Best Period [Seconds],Best Period [Hours],Best Period [Days],False Alarm Probability,Model Parameters,Max Periodogram Power,Mag Vary
0,3, 20959 ,1936 UG,16.66, MB>Middle ,1327,20,2.607974081873368,0.3125389593100785,6.13680007225783,13.87,33.12118113579115,3.783275565633376,4.312542472155442,1.6690586625043633,7.680198247238809,133094.9905999267,36.97083072220186,1.5404512800917445,8.042876739816634e-35,[-0.02865434  0.56221034 -1.77922699],0.1235936828964812,0.12256942303457008
1,4, 8981 ,1964 YJ,16.656, MB>Outer ,3068,211,3.00634987408208,0.0356789278763209,11.41123642976357,12.3,46.59229035636932,10.629315016909809,5.063198397024752,2.896618567905889,9.202145897294482,186325.3263032976,51.75703508424933,2.1565431285103887,0.0,[-0.02744875 -7.18955654 -6.69263425],0.4260090499219429,0.46503479907825745
2,6, 9714 ,1975 LF1,16.951, MB>Outer ,2710,0,3.107935222455143,0.0547332177548871,19.53418965074219,12.69,30.082912029183426,10.550701722882126,3.898645347432,2.5735564804343736,7.716247400907791,625353.231621174,173.70923100588166,7.23788462524507,0.0,[ 0.13774723 -3.14035597 -9.6729976 ],0.4433662248131021,0.7603789877733174
3,7, 14793 ,1975 SE2,17.652, MB>Inner ,3110,0,2.421246849585336,0.1386091061888363,6.846794902827682,15.34,11.499786655958236,5.155037274064354,1.6311435971595798,1.0582636899355975,7.050137508422672,1165956.669276212,323.8768525767256,13.494868857363564,9.258782235980821e-141,[-0.19441803 -2.40009868  2.18349501],0.1929169416172689,0.6412355993934467
4,9, 26799 ,1979 XL,17.411, MB>Middle ,3127,3,2.787155283239265,0.1091603664931675,10.07504830864217,13.29,19.73560191883452,7.653605249778386,2.4532558858118065,1.5698006110020946,8.044656912054576,451917.4097491178,125.53261381919938,5.230525575799975,0.0,[ 0.1062416   6.45620026 -2.00607903],0.3936019179826612,0.7706909747708868
5,11, 10710 ,1982 JE1,15.736, MB>Inner ,2710,376,2.258710642889906,0.1826858532525676,5.258547900856329,14.35,99.15833713723522,12.855015193632225,11.640222197579886,5.956768738242714,8.51859487337374,15414.981965685907,4.281939434912752,0.1784141431213647,9.184807204485078e-201,[ 0.01145126  8.62443298 -4.81948062],0.2939978723456054,0.2170504094001715
6,13, 58143 ,1983 VD7,14.538, MB>Middle ,2797,337,2.57445362507527,0.2901920641456301,12.26213487498667,12.87,310.6003701695845,35.94277402490204,29.875976078270124,18.37513988565684,10.396325440744189,141441.48645142847,39.28930179206346,1.6370542413359777,0.0,[ 1.37847258 38.13801077  2.17739086],0.5557941118813191,0.2672255361930082
7,15, 22285 ,1987 RR,16.4, MB>Outer ,202,0,3.114671494930142,0.1778964523325012,12.87408444866196,13.32,35.497797720865854,21.068132010469373,1.812748149209308,1.7397676834553382,19.582310833608865,36851.27669637175,10.236465748992153,0.4265194062080064,8.257659624832486e-12,[  1.69358735 -10.31024764 -11.3071434 ],0.2757942866926013,0.9496778959919885
8,16, 10503 ,1987 SG13,16.375, MB>Inner ,950,22,2.221286304121264,0.1138376934528661,4.716530371721857,14.3,42.17283535017382,14.971322934338405,4.280589759476226,3.39841187100688,9.852108639192302,9527.098768789225,2.6464163246636736,0.1102673468609864,6.203796095686287e-40,[-0.12448893 -3.69449125 -8.41475897],0.1886029382962413,0.4823768469221146
9,17, 4489 ,1988 AK,16.3, Trojan ,568,197,5.205864833057424,0.0606096712138186,22.2251549857907,9.11,65.42733067761004,4.265909330728755,9.824363785641234,2.623062683132372,6.659701544565679,22632.376730772256,6.2867713141034045,0.2619488047543085,4.57863568270732e-21,[ 1.24744448e-03 -1.40027621e+00 -2.11052104e+00],0.1756112018060123,0.08410156316112848
